epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2464,1.1378,2.12561,1.33875,0.82695,0.26481,0.49793,0.27806,1.53331,2.40188,1.59065,0.000548972,0.000548972,0.000548972
2,47.8961,1.29095,1.65014,1.44197,0.50974,0.39686,0.37198,0.16932,1.88175,2.14439,1.98565,0.00109917,0.00109917,0.00109917
3,68.8112,1.36644,1.63171,1.49985,0.46553,0.45514,0.41145,0.18716,1.92011,2.48539,2.05814,0.00164387,0.00164387,0.00164387
4,89.6891,1.35039,1.51399,1.48988,0.4107,0.40592,0.35664,0.16349,1.94739,2.39343,2.06883,0.00164225,0.00164225,0.00164225
5,110.081,1.30024,1.40457,1.44666,0.51965,0.43292,0.43053,0.19285,1.87901,1.9561,1.94126,0.00163399,0.00163399,0.00163399
6,130.423,1.2717,1.30294,1.42082,0.59546,0.4739,0.50776,0.25138,1.8325,1.7276,1.89616,0.00162574,0.00162574,0.00162574
7,150.946,1.23579,1.25189,1.40851,0.53205,0.42391,0.42642,0.2101,1.84779,2.13534,1.88101,0.00161749,0.00161749,0.00161749
8,171.578,1.17585,1.18108,1.36524,0.59744,0.48942,0.49757,0.2554,1.77732,1.83986,1.84781,0.00160924,0.00160924,0.00160924
9,192.054,1.16806,1.14934,1.36918,0.57688,0.48141,0.48819,0.26005,1.7477,1.91261,1.85867,0.00160099,0.00160099,0.00160099
10,212.468,1.16607,1.12552,1.3557,0.63783,0.4795,0.50304,0.26413,1.76186,1.72263,1.84438,0.00159274,0.00159274,0.00159274
11,233.327,1.10095,1.04648,1.31984,0.58065,0.49373,0.51227,0.26909,1.76384,1.7529,1.83114,0.00158448,0.00158448,0.00158448
12,253.748,1.10736,1.05794,1.32842,0.59819,0.49911,0.5268,0.28813,1.72793,1.71043,1.83894,0.00157623,0.00157623,0.00157623
13,274.052,1.06537,1.02744,1.29958,0.57093,0.41384,0.41921,0.20373,2.01298,2.14498,2.1047,0.00156798,0.00156798,0.00156798
14,294.344,1.05757,0.99437,1.28233,0.64711,0.51162,0.53308,0.28352,1.73681,1.63917,1.8149,0.00155973,0.00155973,0.00155973
15,314.602,1.01813,0.96265,1.26084,0.65976,0.50469,0.54275,0.29911,1.73832,1.62313,1.84324,0.00155148,0.00155148,0.00155148
