hr_trigger_conf,mAP50,mAP5095,avg_energy_ratio,avg_energy_pct,avg_energy_saved,avg_hr_area_pct,total_lr_dets,total_hr_crops,hr_activation_rate
0.1,0.6129,0.4083,0.5512,55.12,44.88,32.75,2472,2039,355.2
0.15,0.6129,0.4083,0.5512,55.12,44.88,32.75,2472,2039,355.2
0.2,0.6221,0.4134,0.5382,53.82,46.18,31.1,2472,1826,318.1
0.3,0.6308,0.4193,0.5214,52.14,47.86,28.36,2472,1569,273.3
0.4,0.6297,0.4215,0.5059,50.59,49.41,26.58,2472,1381,240.6
0.5,0.6277,0.4216,0.4929,49.29,50.71,25.14,2472,1234,215.0
0.6,0.6333,0.4234,0.478,47.8,52.2,23.35,2472,1087,189.4
0.7,0.6346,0.4248,0.4578,45.78,54.22,21.13,2472,902,157.1
0.8,0.6385,0.4274,0.4191,41.91,58.09,17.07,2472,648,112.9
0.9,0.6447,0.4429,0.3286,32.86,67.14,7.88,2472,231,40.2
