epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.37509,2.13477,3.35329,1.64101,0.01896,0.96154,0.2106,0.14319,0.82565,2.89819,0.92219,0.00014,0.00014,0.00014
2,3.34155,1.69986,3.17854,1.35555,0.02042,0.96154,0.47974,0.19458,1.23179,2.84944,0.97128,0.00029703,0.00029703,0.00029703
3,3.99993,1.5715,2.78759,1.19167,0.02278,0.96154,0.56168,0.20265,1.28978,2.84624,0.996,0.000450892,0.000450892,0.000450892
4,4.68803,1.50666,2.4623,1.17206,0.02309,0.98077,0.60609,0.23587,1.28046,2.83852,1.03616,0.000601586,0.000601586,0.000601586
5,5.37329,1.56197,2.05698,1.159,0.01768,0.98077,0.29517,0.12537,1.31871,2.71257,1.05266,0.000749112,0.000749112,0.000749112
6,6.03008,1.52109,1.63891,1.18237,0.82694,0.18419,0.57337,0.30479,1.37007,2.39805,1.13362,0.00089347,0.00089347,0.00089347
7,6.68071,1.56944,1.3356,1.19236,0.79648,0.63462,0.68835,0.35412,1.4796,2.02897,1.21167,0.00103466,0.00103466,0.00103466
8,7.35561,1.49629,1.15124,1.16019,0.87594,0.81475,0.91554,0.56726,1.28567,1.47906,1.13901,0.00117268,0.00117268,0.00117268
9,8.03379,1.4847,1.14521,1.15724,0.90813,0.80769,0.88725,0.57899,1.22935,1.13802,1.1515,0.00130754,0.00130754,0.00130754
10,8.74654,1.41047,1.04472,1.14117,0.92,0.80769,0.92911,0.59535,1.22275,0.96545,1.15487,0.00143922,0.00143922,0.00143922
11,9.42574,1.44933,1.07258,1.15443,0.50332,0.75,0.65013,0.34911,1.41124,1.26202,1.2322,0.00156774,0.00156774,0.00156774
12,10.0803,1.41342,1.05318,1.14438,0.68131,0.88462,0.73292,0.43969,1.14839,1.09862,1.13265,0.00169309,0.00169309,0.00169309
13,10.7303,1.31662,0.96607,1.10955,0.87543,0.81094,0.90322,0.55838,1.16817,1.41709,1.11105,0.0017624,0.0017624,0.0017624
14,11.3939,1.40058,0.99457,1.13149,0.82409,0.81085,0.87323,0.57065,1.17496,1.50559,1.13415,0.0017426,0.0017426,0.0017426
15,12.0358,1.3652,0.96344,1.12277,0.69213,0.84615,0.81237,0.47248,1.24019,1.45317,1.12828,0.0017228,0.0017228,0.0017228
16,12.6803,1.38279,0.99749,1.11346,0.71634,0.87421,0.86349,0.53964,1.22148,1.31647,1.13512,0.001703,0.001703,0.001703
17,13.3203,1.2976,0.93073,1.08628,0.88644,0.90069,0.92086,0.56471,1.22315,1.2296,1.15522,0.0016832,0.0016832,0.0016832
18,13.9572,1.33108,0.92629,1.10508,0.87493,0.86538,0.92377,0.622,1.14808,0.97838,1.10244,0.0016634,0.0016634,0.0016634
19,14.6241,1.2948,0.8997,1.0753,0.83985,0.88462,0.92637,0.57958,1.21044,0.90273,1.12642,0.0016436,0.0016436,0.0016436
20,15.2629,1.24974,0.89276,1.08192,0.90439,0.82692,0.90745,0.57445,1.2315,0.93779,1.16402,0.0016238,0.0016238,0.0016238
21,15.8996,1.25528,0.89769,1.07694,0.9131,0.82692,0.90946,0.55707,1.27278,0.94482,1.18583,0.001604,0.001604,0.001604
22,16.5351,1.29229,0.89878,1.08951,0.93096,0.84615,0.93927,0.56049,1.28756,0.89059,1.18044,0.0015842,0.0015842,0.0015842
23,17.1735,1.27221,0.92277,1.09766,0.86492,0.88462,0.92403,0.59393,1.21016,0.86693,1.12916,0.0015644,0.0015644,0.0015644
24,17.8289,1.22907,0.8752,1.06816,0.91666,0.88462,0.93652,0.58694,1.27906,0.81663,1.14972,0.0015446,0.0015446,0.0015446
25,18.4731,1.24471,0.8799,1.09126,0.97896,0.89478,0.93896,0.60411,1.22819,0.8091,1.12666,0.0015248,0.0015248,0.0015248
26,19.1147,1.3041,0.89001,1.06463,0.94832,0.90385,0.948,0.61421,1.17977,0.78331,1.11436,0.001505,0.001505,0.001505
27,19.7511,1.2127,0.85708,1.05993,0.93944,0.84615,0.95197,0.56898,1.28142,0.78861,1.12569,0.0014852,0.0014852,0.0014852
28,20.3824,1.27544,0.86,1.06895,0.93167,0.88462,0.93658,0.59463,1.19888,0.73376,1.09619,0.0014654,0.0014654,0.0014654
29,21.0185,1.20852,0.824,1.07039,0.91893,0.87196,0.94093,0.60228,1.21803,0.76449,1.09767,0.0014456,0.0014456,0.0014456
30,21.6443,1.18734,0.81939,1.0535,0.9353,0.88462,0.94838,0.62616,1.1278,0.75088,1.08623,0.0014258,0.0014258,0.0014258
31,22.3076,1.13765,0.81076,1.03142,0.82867,0.9302,0.91419,0.62,1.07808,0.76469,1.08112,0.001406,0.001406,0.001406
32,22.9426,1.1604,0.79915,1.03007,0.84056,0.91255,0.90981,0.63915,1.06015,0.73761,1.07275,0.0013862,0.0013862,0.0013862
33,23.6189,1.15587,0.79758,1.03104,0.9403,0.9087,0.95188,0.66469,1.01906,0.7044,1.05524,0.0013664,0.0013664,0.0013664
34,24.2571,1.16603,0.79029,1.0316,0.89577,0.90385,0.94734,0.68771,1.01072,0.6937,1.04949,0.0013466,0.0013466,0.0013466
35,25.3096,1.12392,0.78254,1.03809,0.97206,0.84615,0.93729,0.63933,1.12701,0.72382,1.07792,0.0013268,0.0013268,0.0013268
36,25.9853,1.21665,0.83394,1.05291,0.93923,0.89168,0.9373,0.61886,1.17883,0.69305,1.09427,0.001307,0.001307,0.001307
37,26.7191,1.1359,0.77648,1.03394,0.92111,0.92308,0.94065,0.61033,1.20265,0.72773,1.09582,0.0012872,0.0012872,0.0012872
38,27.3684,1.15289,0.79169,1.03004,0.90241,0.90385,0.90226,0.47697,1.60375,0.91339,1.25174,0.0012674,0.0012674,0.0012674
39,28.0168,1.18556,0.80466,1.04221,0.94026,0.90802,0.94076,0.54037,1.48658,0.85966,1.19262,0.0012476,0.0012476,0.0012476
40,28.6561,1.09668,0.78851,1.02944,0.97909,0.90057,0.96205,0.60902,1.22635,0.75527,1.11334,0.0012278,0.0012278,0.0012278
41,29.2989,1.17075,0.79681,1.04601,0.97554,0.90385,0.96036,0.64332,1.1399,0.70938,1.0746,0.001208,0.001208,0.001208
42,29.9358,1.09194,0.7751,1.02932,0.95979,0.9182,0.97078,0.65226,1.09252,0.67454,1.05195,0.0011882,0.0011882,0.0011882
43,30.5923,1.07415,0.75667,1.02184,0.9036,0.92308,0.96179,0.64146,1.15459,0.71943,1.07805,0.0011684,0.0011684,0.0011684
44,31.3051,1.05073,0.72248,1.01057,0.92408,0.93635,0.95321,0.61148,1.27099,0.74033,1.11336,0.0011486,0.0011486,0.0011486
45,31.9568,1.09434,0.73275,1.01389,0.95299,0.92308,0.95844,0.65323,1.08396,0.64475,1.05115,0.0011288,0.0011288,0.0011288
46,32.6026,1.11953,0.74192,1.02205,0.96057,0.9371,0.96232,0.65398,1.12339,0.63982,1.05229,0.001109,0.001109,0.001109
47,33.2681,1.139,0.76623,1.02655,0.91785,0.96154,0.96571,0.63752,1.12555,0.66119,1.0482,0.0010892,0.0010892,0.0010892
48,33.9363,1.11305,0.76561,1.02875,0.92567,0.95799,0.96548,0.64604,1.10507,0.68353,1.03671,0.0010694,0.0010694,0.0010694
49,34.5752,1.11447,0.74805,1.02864,0.9597,0.91608,0.95941,0.64522,1.11907,0.6975,1.04633,0.0010496,0.0010496,0.0010496
50,35.225,1.11372,0.74922,1.02859,0.96,0.92311,0.96372,0.665,1.07856,0.70961,1.03342,0.0010298,0.0010298,0.0010298
51,35.8581,1.0184,0.70441,0.99965,0.96114,0.95137,0.95903,0.66973,1.05997,0.71399,1.03103,0.00101,0.00101,0.00101
52,36.4882,1.0576,0.70757,0.98708,0.97192,0.92308,0.96381,0.67217,1.01856,0.67133,1.01201,0.0009902,0.0009902,0.0009902
53,37.14,1.05122,0.72666,1.00352,0.9613,0.95557,0.96741,0.65697,1.04464,0.67389,1.02326,0.0009704,0.0009704,0.0009704
54,37.7715,1.06207,0.73768,1.0121,0.92287,0.94231,0.95628,0.65718,1.11613,0.67384,1.03233,0.0009506,0.0009506,0.0009506
