epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2367,2.5767,3.5172,1.53244,0.02707,0.73077,0.09146,0.03301,2.04483,3.16541,1.14281,0.00014,0.00014,0.00014
2,4.25014,2.10176,3.22733,1.25396,0.03404,0.92308,0.12089,0.04122,2.09941,3.22593,1.21298,0.00029703,0.00029703,0.00029703
3,4.96686,1.95326,2.75618,1.17012,0.03095,0.92308,0.09614,0.03999,1.80202,3.20266,1.14609,0.000450892,0.000450892,0.000450892
4,5.67137,1.88855,2.32165,1.14187,0.02484,0.96154,0.1404,0.05302,1.6851,3.09119,1.11197,0.000601586,0.000601586,0.000601586
5,6.41855,1.83406,1.81513,1.10507,0.0163,0.94231,0.26566,0.12276,1.99454,2.91182,1.19066,0.000749112,0.000749112,0.000749112
6,7.20376,1.83025,1.43768,1.11374,1,0.20506,0.7118,0.24527,1.67789,2.58034,1.13126,0.00089347,0.00089347,0.00089347
7,7.86876,1.75524,1.20643,1.10039,1,0.16276,0.64791,0.28174,2.00972,2.40357,1.33356,0.00103466,0.00103466,0.00103466
8,8.54535,1.77904,1.14713,1.11767,0.95604,0.63462,0.86704,0.41303,1.62831,1.82534,1.21334,0.00117268,0.00117268,0.00117268
9,9.2494,1.77966,1.11266,1.1307,0.82856,0.74365,0.78883,0.37876,1.67646,1.31551,1.25576,0.00130754,0.00130754,0.00130754
10,9.88132,1.66756,1.04249,1.1078,0.90968,0.77482,0.85868,0.45996,1.57855,1.12823,1.17844,0.00143922,0.00143922,0.00143922
11,10.5224,1.62735,1.0467,1.09848,0.76308,0.75,0.81917,0.41528,1.53782,1.19296,1.22075,0.00156774,0.00156774,0.00156774
12,11.144,1.63269,1.04119,1.11507,0.87194,0.78566,0.83385,0.43766,1.5175,1.14309,1.18922,0.00169309,0.00169309,0.00169309
13,11.8075,1.60041,0.97059,1.12528,0.66681,0.76973,0.78497,0.41113,1.58935,1.10852,1.22034,0.0017624,0.0017624,0.0017624
14,12.4541,1.56245,0.94254,1.10458,0.92812,0.74501,0.89064,0.50142,1.40837,0.95284,1.15167,0.0017426,0.0017426,0.0017426
15,13.1468,1.5353,0.92183,1.05867,0.74532,0.84615,0.83798,0.43005,1.48649,1.0712,1.20078,0.0017228,0.0017228,0.0017228
16,13.7714,1.53157,0.91271,1.06829,0.93543,0.83596,0.91721,0.48442,1.45811,1.07438,1.17676,0.001703,0.001703,0.001703
17,14.4149,1.52433,0.93765,1.07152,0.88585,0.86538,0.91362,0.49869,1.39975,1.0935,1.13716,0.0016832,0.0016832,0.0016832
18,15.0418,1.48727,0.90322,1.07982,0.84438,0.94231,0.91757,0.49738,1.39409,1.13979,1.14009,0.0016634,0.0016634,0.0016634
19,15.7168,1.5098,0.87874,1.06471,0.91687,0.84845,0.90713,0.4886,1.46328,0.99822,1.16047,0.0016436,0.0016436,0.0016436
20,16.4591,1.43692,0.882,1.05485,0.79767,0.83404,0.86282,0.48423,1.45089,0.96936,1.15141,0.0016238,0.0016238,0.0016238
21,17.1358,1.5059,0.89153,1.03954,0.80408,0.78929,0.84452,0.47513,1.41397,0.96198,1.14235,0.001604,0.001604,0.001604
22,17.8285,1.47899,0.90768,1.04461,0.94661,0.76923,0.90394,0.48869,1.47612,0.94294,1.1533,0.0015842,0.0015842,0.0015842
23,18.5148,1.48794,0.91699,1.08542,0.89881,0.85421,0.92896,0.5343,1.36605,0.84068,1.12433,0.0015644,0.0015644,0.0015644
24,19.204,1.44335,0.86236,1.06612,0.98153,0.84615,0.93562,0.55927,1.29379,0.79159,1.09334,0.0015446,0.0015446,0.0015446
25,19.8875,1.37703,0.84642,1.04828,0.88922,0.84615,0.9106,0.52754,1.37268,0.88687,1.10138,0.0015248,0.0015248,0.0015248
26,20.566,1.42589,0.85924,1.0268,0.86107,0.86538,0.87002,0.49476,1.44076,0.9235,1.11602,0.001505,0.001505,0.001505
27,21.2319,1.41413,0.83047,1.0553,0.85402,0.84615,0.89206,0.48341,1.45863,0.89859,1.14761,0.0014852,0.0014852,0.0014852
28,21.9006,1.49659,0.8534,1.05864,0.80788,0.80866,0.87556,0.47868,1.49042,0.9212,1.15896,0.0014654,0.0014654,0.0014654
29,22.5704,1.37834,0.80626,1.05003,0.87345,0.78846,0.87772,0.46993,1.44768,0.9119,1.15504,0.0014456,0.0014456,0.0014456
30,23.2411,1.35103,0.80769,1.03185,0.9106,0.76923,0.87654,0.45353,1.4926,0.9089,1.16115,0.0014258,0.0014258,0.0014258
31,24.2357,1.42421,0.81696,1.04435,0.83797,0.80769,0.90825,0.46582,1.48157,0.91805,1.14728,0.001406,0.001406,0.001406
32,24.9267,1.38023,0.79003,1.02574,0.88415,0.84615,0.92524,0.50604,1.46356,0.88808,1.16319,0.0013862,0.0013862,0.0013862
33,25.583,1.31005,0.79417,1.01493,0.91738,0.84615,0.93465,0.54814,1.40135,0.81133,1.12424,0.0013664,0.0013664,0.0013664
34,26.3435,1.34208,0.7717,1.00791,0.88016,0.84749,0.92669,0.54219,1.35591,0.75861,1.0984,0.0013466,0.0013466,0.0013466
35,27.0304,1.29158,0.75265,1.00542,0.91658,0.84526,0.91862,0.54152,1.35449,0.77492,1.09914,0.0013268,0.0013268,0.0013268
36,27.6577,1.38327,0.79458,0.9985,0.85757,0.84615,0.91424,0.54975,1.32123,0.78822,1.08666,0.001307,0.001307,0.001307
37,28.3241,1.33042,0.78898,1.01334,0.85853,0.88462,0.91901,0.51428,1.37443,0.78612,1.09793,0.0012872,0.0012872,0.0012872
38,28.9506,1.34006,0.7932,1.01205,0.95522,0.82051,0.90975,0.53256,1.40162,0.80552,1.11973,0.0012674,0.0012674,0.0012674
39,29.5707,1.36333,0.76719,1.00527,0.94987,0.82692,0.92354,0.52991,1.40029,0.78713,1.10357,0.0012476,0.0012476,0.0012476
40,30.197,1.30596,0.75602,0.99612,0.9768,0.80965,0.93803,0.55114,1.34328,0.75319,1.07999,0.0012278,0.0012278,0.0012278
41,30.9408,1.36892,0.78287,1.00903,0.93245,0.84615,0.91271,0.53156,1.37397,0.76181,1.09878,0.001208,0.001208,0.001208
42,31.5692,1.33944,0.78867,1.01808,0.9554,0.82398,0.9322,0.52103,1.3797,0.77366,1.09588,0.0011882,0.0011882,0.0011882
43,32.217,1.31937,0.77198,1.02701,0.93041,0.84615,0.93559,0.51355,1.37206,0.77384,1.10508,0.0011684,0.0011684,0.0011684
44,32.8418,1.29106,0.73051,0.99416,0.83577,0.78299,0.88743,0.49121,1.33933,0.83551,1.1066,0.0011486,0.0011486,0.0011486
