epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99447,1.16939,2.89197,1.12725,0.01012,1,0.63286,0.46736,0.80415,2.61239,0.85503,0.00014,0.00014,0.00014
2,4.03644,1.07706,2.42487,1.04035,0.0122,1,0.88467,0.6136,0.87336,2.44572,0.848,0.00029703,0.00029703,0.00029703
3,4.8664,1.10499,1.85509,1.06039,0.0121,1,0.85551,0.57219,0.99416,2.43215,0.8804,0.000450892,0.000450892,0.000450892
4,5.68573,1.06357,1.4336,1.06184,0.4598,0.76923,0.75139,0.51374,0.95407,2.36623,0.91076,0.000601586,0.000601586,0.000601586
5,6.49095,1.09426,1.12795,1.07221,0.95354,0.39489,0.69797,0.47944,0.96697,2.21412,0.94792,0.000749112,0.000749112,0.000749112
6,7.28447,1.07465,1.02395,1.09146,0.88144,0.51923,0.70595,0.44859,1.08722,1.95907,1.00603,0.00089347,0.00089347,0.00089347
7,8.07277,0.99719,0.96551,1.06224,0.95628,0.57692,0.81494,0.54917,0.96336,1.83906,0.94767,0.00103466,0.00103466,0.00103466
8,8.86093,1.01435,0.8987,1.04112,0.9501,0.69231,0.89333,0.62622,1.0989,1.72006,1.05403,0.00117268,0.00117268,0.00117268
9,9.66457,0.98646,0.88296,1.01292,0.95739,0.84615,0.93094,0.62699,1.03161,1.28178,1.03816,0.00130754,0.00130754,0.00130754
10,10.4783,0.99837,0.88109,1.0327,0.91563,0.88462,0.92892,0.62268,1.06818,1.1717,1.05976,0.00143922,0.00143922,0.00143922
11,11.2789,1.02058,0.88855,1.05025,0.92223,0.91233,0.97017,0.65576,1.12126,1.2089,1.18407,0.00156774,0.00156774,0.00156774
12,12.0707,1.07173,0.93703,1.07454,0.90856,0.90385,0.94603,0.62641,1.08864,1.05945,1.16047,0.00169309,0.00169309,0.00169309
13,12.8513,0.95561,0.8498,1.03969,0.9042,0.80769,0.93475,0.6894,0.89999,0.93369,1.02875,0.0017624,0.0017624,0.0017624
14,13.6376,0.98178,0.84893,1.04585,0.99422,0.84615,0.95618,0.70845,0.91009,0.85645,1.06335,0.0017426,0.0017426,0.0017426
15,14.416,0.92894,0.78892,1.01628,0.93304,0.92308,0.96381,0.71786,0.87728,0.81178,1.08704,0.0017228,0.0017228,0.0017228
16,15.2052,0.94622,0.79464,1.01101,0.95756,0.90385,0.97201,0.70899,0.91592,0.80888,1.07511,0.001703,0.001703,0.001703
17,15.9714,0.91933,0.78325,0.99884,0.96883,0.90385,0.97536,0.70347,0.90848,0.78652,1.09447,0.0016832,0.0016832,0.0016832
18,16.7536,0.89451,0.76342,1.01864,0.91955,0.94231,0.96835,0.69532,0.99434,0.79435,1.13421,0.0016634,0.0016634,0.0016634
19,17.5347,0.89858,0.74079,0.99785,0.97725,0.8261,0.95606,0.6855,0.93708,0.82131,1.09415,0.0016436,0.0016436,0.0016436
20,18.3193,0.87648,0.74326,0.99935,0.80093,0.85115,0.90923,0.6432,0.9926,0.94383,1.10173,0.0016238,0.0016238,0.0016238
21,19.1002,0.89684,0.74981,1.00387,0.92289,0.82692,0.91338,0.59535,1.0851,1.01511,1.10642,0.001604,0.001604,0.001604
22,19.8744,0.92839,0.75191,1.00145,0.9859,0.73077,0.83112,0.53607,1.16301,1.30527,1.15924,0.0015842,0.0015842,0.0015842
23,20.6512,0.8923,0.74615,1.01287,0.91854,0.80769,0.85646,0.52867,1.31781,1.24536,1.25392,0.0015644,0.0015644,0.0015644
24,21.4242,0.87934,0.71316,1.00352,0.92104,0.89737,0.94036,0.67599,0.96474,0.82901,1.0842,0.0015446,0.0015446,0.0015446
25,22.1916,0.89395,0.71206,1.01442,0.91731,0.94231,0.97929,0.73245,0.87841,0.68551,1.04047,0.0015248,0.0015248,0.0015248
26,22.9763,0.88627,0.70904,0.98041,0.96139,0.95767,0.9823,0.71157,0.9199,0.72399,1.07845,0.001505,0.001505,0.001505
27,23.7661,0.84082,0.69029,0.97706,0.96164,0.94231,0.98132,0.71119,0.90202,0.68518,1.03789,0.0014852,0.0014852,0.0014852
28,24.5458,0.90944,0.69451,0.99661,0.85015,0.98193,0.97354,0.67005,1.03238,0.87007,1.14016,0.0014654,0.0014654,0.0014654
29,25.3215,0.82335,0.66781,0.98232,0.89622,0.99651,0.98433,0.71564,0.87768,0.64241,1.05231,0.0014456,0.0014456,0.0014456
30,26.102,0.84598,0.68167,0.973,0.97931,0.91054,0.97489,0.72855,0.85392,0.6542,1.04213,0.0014258,0.0014258,0.0014258
31,26.875,0.79695,0.64992,0.95399,0.90307,0.94231,0.97228,0.75029,0.81547,0.60369,1.03988,0.001406,0.001406,0.001406
32,27.6685,0.80846,0.62677,0.95569,0.9604,0.93287,0.96888,0.73019,0.86827,0.64998,1.04342,0.0013862,0.0013862,0.0013862
33,28.4528,0.76114,0.61165,0.94059,0.95479,0.94231,0.96882,0.70448,0.91321,0.66076,1.07663,0.0013664,0.0013664,0.0013664
34,29.2339,0.78617,0.61427,0.94428,0.95625,0.94231,0.97577,0.72605,0.85411,0.58097,1.0268,0.0013466,0.0013466,0.0013466
