epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44708,1.10647,2.52552,1.24443,0.00654,0.98077,0.76313,0.33463,1.265,2.75475,1.33127,0.00014,0.00014,0.00014
2,5.51043,0.88492,2.09259,1.10807,0.00667,1,0.77129,0.44213,0.91845,2.59463,1.23621,0.00029703,0.00029703,0.00029703
3,7.24734,0.94157,1.68473,1.15078,0.00667,1,0.93496,0.61471,0.98289,2.46668,1.27675,0.000450892,0.000450892,0.000450892
4,8.9929,0.94261,1.42128,1.17343,1,0.30987,0.84277,0.56956,1.1424,2.49857,1.39804,0.000601586,0.000601586,0.000601586
5,10.7251,0.96822,1.2735,1.14506,1,0.41475,0.71178,0.44429,1.42842,2.38813,1.58987,0.000749112,0.000749112,0.000749112
6,12.4559,0.94837,1.15936,1.16426,0.8657,0.74388,0.84523,0.56513,1.05683,1.65998,1.43744,0.00089347,0.00089347,0.00089347
7,14.1842,0.99719,1.1342,1.15513,0.93274,0.63462,0.83197,0.51616,1.16494,1.94527,1.47438,0.00103466,0.00103466,0.00103466
8,15.9436,0.94308,1.06309,1.11447,0.85574,0.40385,0.61862,0.33192,1.47171,2.44262,1.73003,0.00117268,0.00117268,0.00117268
9,17.6736,0.97067,1.07802,1.14115,0.78227,0.65385,0.78995,0.43424,1.36486,1.96855,1.76256,0.00130754,0.00130754,0.00130754
10,19.384,0.93113,1.02187,1.12402,0.9391,0.73077,0.84637,0.55437,1.04501,1.64099,1.39403,0.00143922,0.00143922,0.00143922
11,21.1022,1.03329,1.07987,1.19644,0.85757,0.69231,0.8564,0.49448,1.20924,1.83449,1.43452,0.00156774,0.00156774,0.00156774
12,22.8239,0.9696,1.02801,1.14607,0.88835,0.90385,0.92761,0.61629,1.12831,1.49842,1.45118,0.00169309,0.00169309,0.00169309
13,24.5664,0.891,0.96954,1.09421,0.93956,0.89689,0.92789,0.62942,1.03011,1.37618,1.39767,0.0017624,0.0017624,0.0017624
14,26.3168,0.9562,1.01437,1.13131,0.83168,0.78846,0.84337,0.54175,1.22726,1.56769,1.64141,0.0017426,0.0017426,0.0017426
15,28.0292,0.96108,0.95533,1.12884,0.84193,0.81952,0.8991,0.60179,1.18503,1.29391,1.51883,0.0017228,0.0017228,0.0017228
16,29.7739,0.9599,0.97899,1.12211,0.77495,0.72846,0.82109,0.59033,0.92097,1.23593,1.2475,0.001703,0.001703,0.001703
