epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2011,1.19868,2.18185,1.32207,0.81062,0.101,0.29216,0.13552,1.7553,2.59381,1.64103,0.000548972,0.000548972,0.000548972
2,43.8349,1.38659,1.78164,1.46894,0.3704,0.37789,0.32623,0.15622,1.80318,2.27572,1.90125,0.0010937,0.0010937,0.0010937
3,64.2272,1.4819,1.846,1.55816,0.27577,0.32709,0.18967,0.08527,1.95617,4.72409,1.99243,0.00162743,0.00162743,0.00162743
4,83.9262,1.48416,1.78874,1.57142,0.32627,0.28386,0.23525,0.11042,1.91439,2.69193,2.02226,0.00161749,0.00161749,0.00161749
5,103.401,1.48276,1.70789,1.55747,0.51791,0.40399,0.39656,0.19181,1.74862,2.08109,1.8103,0.00160099,0.00160099,0.00160099
6,122.814,1.48202,1.6713,1.56469,0.53845,0.40003,0.40688,0.18773,1.90119,1.94899,1.83483,0.00158448,0.00158448,0.00158448
7,142.325,1.45787,1.62067,1.5361,0.62784,0.4668,0.51684,0.28501,1.65237,1.74817,1.69724,0.00156798,0.00156798,0.00156798
8,161.796,1.3997,1.55231,1.5075,0.60693,0.44929,0.48823,0.25805,1.70147,1.73301,1.72957,0.00155148,0.00155148,0.00155148
9,181.223,1.41054,1.51336,1.49813,0.5935,0.46329,0.49881,0.28174,1.60551,1.65734,1.6146,0.00153497,0.00153497,0.00153497
10,200.798,1.36889,1.49652,1.48785,0.66823,0.48834,0.53571,0.28949,1.59795,1.79927,1.60207,0.00151847,0.00151847,0.00151847
11,220.219,1.37477,1.47804,1.48365,0.64656,0.48551,0.54593,0.30643,1.61759,1.60311,1.60178,0.00150197,0.00150197,0.00150197
12,239.745,1.32679,1.39813,1.44687,0.64289,0.5146,0.55801,0.30435,1.66873,1.56568,1.68643,0.00148546,0.00148546,0.00148546
13,259.224,1.32677,1.4016,1.45281,0.6699,0.50074,0.56277,0.30946,1.5804,1.51924,1.5939,0.00146896,0.00146896,0.00146896
14,278.696,1.31157,1.38694,1.4501,0.60385,0.48539,0.52352,0.29864,1.58775,1.72476,1.63825,0.00145246,0.00145246,0.00145246
15,298.226,1.29509,1.34007,1.42665,0.71114,0.54649,0.61444,0.36092,1.48418,1.42203,1.52886,0.00143595,0.00143595,0.00143595
16,317.68,1.29754,1.31673,1.42814,0.71072,0.54546,0.61459,0.35675,1.51641,1.42744,1.53983,0.00141945,0.00141945,0.00141945
17,337.381,1.26956,1.33444,1.41444,0.65591,0.54624,0.60667,0.34682,1.49914,1.47018,1.52893,0.00140295,0.00140295,0.00140295
18,356.939,1.23668,1.27501,1.40017,0.68397,0.55178,0.61287,0.36302,1.47149,1.42479,1.52923,0.00138644,0.00138644,0.00138644
19,376.398,1.22409,1.268,1.38285,0.66953,0.49584,0.56841,0.33176,1.50462,1.47596,1.53078,0.00136994,0.00136994,0.00136994
20,395.859,1.24623,1.25084,1.39827,0.7185,0.56544,0.64209,0.38062,1.43331,1.33981,1.49553,0.00135344,0.00135344,0.00135344
21,415.449,1.22869,1.23714,1.37524,0.68086,0.5411,0.59588,0.34585,1.46652,1.44543,1.50726,0.00133693,0.00133693,0.00133693
22,434.923,1.21513,1.20931,1.36372,0.74965,0.54889,0.63026,0.36888,1.47997,1.36957,1.52722,0.00132043,0.00132043,0.00132043
23,454.385,1.22204,1.2113,1.37799,0.68718,0.53823,0.61247,0.37929,1.46642,1.45906,1.52946,0.00130393,0.00130393,0.00130393
24,473.839,1.20919,1.19012,1.35814,0.72442,0.54276,0.62672,0.38662,1.43456,1.33328,1.48726,0.00128742,0.00128742,0.00128742
25,493.409,1.19475,1.17521,1.3629,0.72618,0.58041,0.65173,0.38695,1.46255,1.29548,1.48566,0.00127092,0.00127092,0.00127092
26,512.965,1.18607,1.17982,1.3612,0.72149,0.5752,0.64235,0.38151,1.4573,1.32475,1.49469,0.00125442,0.00125442,0.00125442
27,532.529,1.1656,1.14703,1.33778,0.73087,0.57777,0.65463,0.39318,1.42237,1.26795,1.48527,0.00123791,0.00123791,0.00123791
28,552.216,1.15944,1.11989,1.32034,0.70216,0.58721,0.65799,0.40435,1.41212,1.3106,1.48803,0.00122141,0.00122141,0.00122141
29,571.729,1.17561,1.12999,1.33738,0.71346,0.57155,0.65585,0.40042,1.44477,1.25996,1.47598,0.00120491,0.00120491,0.00120491
30,591.234,1.14222,1.10124,1.30651,0.74186,0.5686,0.65143,0.39155,1.42219,1.28006,1.48462,0.0011884,0.0011884,0.0011884
31,610.661,1.13784,1.09791,1.3133,0.75574,0.57577,0.66416,0.4043,1.42647,1.26758,1.48554,0.0011719,0.0011719,0.0011719
32,630.208,1.14684,1.09531,1.31881,0.7184,0.5824,0.66013,0.40679,1.41258,1.25309,1.46694,0.0011554,0.0011554,0.0011554
33,649.772,1.12415,1.07703,1.30338,0.75189,0.59815,0.67683,0.41333,1.37485,1.22407,1.44019,0.00113889,0.00113889,0.00113889
34,669.328,1.12699,1.06981,1.31052,0.76516,0.56937,0.66037,0.40177,1.42267,1.31417,1.47161,0.00112239,0.00112239,0.00112239
35,688.808,1.12274,1.07034,1.30928,0.77187,0.58505,0.67274,0.41583,1.41344,1.23358,1.46409,0.00110589,0.00110589,0.00110589
36,708.371,1.11087,1.05118,1.30029,0.76195,0.59627,0.68897,0.42573,1.39208,1.18867,1.42803,0.00108938,0.00108938,0.00108938
37,727.913,1.10146,1.0407,1.28771,0.72702,0.58404,0.66664,0.41087,1.38608,1.22717,1.46124,0.00107288,0.00107288,0.00107288
38,747.728,1.07309,1.00913,1.27863,0.72656,0.58799,0.67408,0.41521,1.40193,1.23499,1.45296,0.00105638,0.00105638,0.00105638
39,767.618,1.10487,1.04416,1.294,0.7706,0.57031,0.66575,0.41387,1.37479,1.23289,1.44568,0.00103987,0.00103987,0.00103987
40,787.382,1.0873,1.01745,1.27043,0.79223,0.59166,0.69043,0.42894,1.37438,1.17842,1.44778,0.00102337,0.00102337,0.00102337
41,806.883,1.09402,1.01064,1.28298,0.76216,0.60152,0.68758,0.43474,1.35673,1.15213,1.41648,0.00100687,0.00100687,0.00100687
42,826.416,1.08606,0.99358,1.26858,0.79392,0.58528,0.69135,0.43145,1.37153,1.16026,1.43365,0.000990365,0.000990365,0.000990365
43,846.131,1.06363,0.95557,1.26208,0.78853,0.59728,0.69213,0.43527,1.36378,1.17599,1.43312,0.000973861,0.000973861,0.000973861
44,865.756,1.06075,0.99408,1.26829,0.76988,0.58103,0.67231,0.41555,1.42655,1.20694,1.48674,0.000957358,0.000957358,0.000957358
45,885.519,1.05442,0.95407,1.25597,0.79639,0.57707,0.68917,0.42951,1.36957,1.16234,1.4368,0.000940855,0.000940855,0.000940855
46,905.677,1.04991,0.95212,1.24926,0.77466,0.60359,0.69547,0.43481,1.36864,1.13809,1.42846,0.000924352,0.000924352,0.000924352
47,925.915,1.02495,0.95378,1.24216,0.753,0.59229,0.68363,0.42834,1.36635,1.16693,1.44434,0.000907848,0.000907848,0.000907848
48,946.132,1.03161,0.94099,1.23684,0.7802,0.60258,0.68724,0.42786,1.37769,1.15773,1.42063,0.000891345,0.000891345,0.000891345
49,966.539,1.02722,0.91522,1.22616,0.78392,0.61638,0.70724,0.44915,1.34057,1.12015,1.40748,0.000874842,0.000874842,0.000874842
50,987.083,1.01064,0.90392,1.22524,0.72568,0.61968,0.70291,0.44708,1.34833,1.13613,1.42192,0.000858338,0.000858338,0.000858338
51,1007.54,1.02347,0.91049,1.23572,0.77531,0.62379,0.70917,0.44253,1.39064,1.10994,1.45206,0.000841835,0.000841835,0.000841835
52,1027.76,1.00909,0.89247,1.21062,0.78505,0.60595,0.69937,0.44742,1.3238,1.13841,1.38977,0.000825332,0.000825332,0.000825332
53,1047.9,1.00135,0.90148,1.21978,0.75405,0.63539,0.70798,0.44674,1.38009,1.11841,1.43958,0.000808828,0.000808828,0.000808828
54,1068.24,1.01736,0.90393,1.22048,0.77146,0.60101,0.69597,0.44369,1.34424,1.17633,1.40402,0.000792325,0.000792325,0.000792325
55,1088.6,0.98817,0.8734,1.21592,0.7858,0.60772,0.70177,0.43924,1.3596,1.13407,1.4238,0.000775822,0.000775822,0.000775822
56,1108.9,0.98952,0.85417,1.20658,0.78157,0.60286,0.69943,0.44724,1.31919,1.08311,1.39859,0.000759318,0.000759318,0.000759318
57,1129.36,0.98206,0.85171,1.19442,0.80082,0.5999,0.70374,0.44891,1.35234,1.14413,1.42383,0.000742815,0.000742815,0.000742815
