epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4399,1.15484,2.09936,1.28906,0.85556,0.32182,0.55807,0.33344,1.37129,2.26847,1.40137,0.000548972,0.000548972,0.000548972
2,50.2799,1.34551,1.68991,1.43642,0.49686,0.38246,0.38461,0.18532,1.8725,2.23317,1.92576,0.0010937,0.0010937,0.0010937
3,72.8903,1.43558,1.73901,1.52445,0.42293,0.40575,0.36616,0.17757,1.78461,2.74947,1.86138,0.00162743,0.00162743,0.00162743
4,95.1966,1.46803,1.74897,1.5604,0.38858,0.34619,0.30439,0.12866,1.93559,2.31635,2.11605,0.00161749,0.00161749,0.00161749
5,117.562,1.46515,1.67744,1.53506,0.53188,0.44362,0.46131,0.23345,1.73101,1.89193,1.81073,0.00160099,0.00160099,0.00160099
6,139.962,1.44404,1.59787,1.53212,0.6126,0.48802,0.52442,0.2634,1.75748,1.83019,1.74314,0.00158448,0.00158448,0.00158448
7,163.157,1.40516,1.53244,1.4856,0.63676,0.48766,0.54383,0.291,1.64094,1.64928,1.67223,0.00156798,0.00156798,0.00156798
8,189.579,1.36062,1.48282,1.47063,0.65276,0.48056,0.53408,0.28881,1.64686,1.69628,1.65183,0.00155148,0.00155148,0.00155148
9,213.984,1.37389,1.45172,1.47459,0.63224,0.52894,0.5687,0.31466,1.58119,1.59617,1.59457,0.00153497,0.00153497,0.00153497
10,236.302,1.33299,1.421,1.46341,0.68775,0.53526,0.60294,0.34473,1.5311,1.5346,1.58379,0.00151847,0.00151847,0.00151847
11,258.436,1.35476,1.40722,1.45919,0.67546,0.55708,0.62161,0.36332,1.49802,1.44604,1.50726,0.00150197,0.00150197,0.00150197
12,280.647,1.29666,1.32337,1.41995,0.66305,0.55054,0.60655,0.35621,1.49745,1.50562,1.54635,0.00148546,0.00148546,0.00148546
13,306.69,1.30429,1.35075,1.44004,0.70019,0.54043,0.62118,0.35475,1.53025,1.4877,1.5698,0.00146896,0.00146896,0.00146896
14,336.744,1.30072,1.32105,1.44356,0.6638,0.58719,0.63117,0.37671,1.45711,1.41453,1.51059,0.00145246,0.00145246,0.00145246
15,371.896,1.25425,1.26152,1.39445,0.73956,0.56672,0.66007,0.39001,1.46965,1.32975,1.52002,0.00143595,0.00143595,0.00143595
16,482.77,1.26998,1.25198,1.39902,0.67856,0.58984,0.65104,0.3849,1.43664,1.35723,1.48362,0.00141945,0.00141945,0.00141945
17,545.364,1.23087,1.25195,1.3883,0.72548,0.56985,0.63995,0.37838,1.46749,1.38346,1.49758,0.00140295,0.00140295,0.00140295
18,564.395,1.21904,1.22277,1.37699,0.72706,0.57796,0.65299,0.38409,1.4587,1.37958,1.50004,0.00138644,0.00138644,0.00138644
19,583.753,1.21755,1.22892,1.36834,0.74386,0.59023,0.67909,0.40518,1.43857,1.31262,1.46565,0.00136994,0.00136994,0.00136994
20,602.993,1.22222,1.19593,1.37343,0.7291,0.59556,0.67714,0.41278,1.41288,1.26883,1.46679,0.00135344,0.00135344,0.00135344
21,622.523,1.20184,1.17542,1.3468,0.727,0.59263,0.66937,0.4016,1.43293,1.27339,1.46518,0.00133693,0.00133693,0.00133693
22,642.006,1.17694,1.14599,1.33098,0.76786,0.57579,0.66579,0.4095,1.41539,1.3193,1.47419,0.00132043,0.00132043,0.00132043
23,661.32,1.1944,1.15975,1.35622,0.73381,0.58259,0.66309,0.40794,1.39519,1.29426,1.44324,0.00130393,0.00130393,0.00130393
24,680.37,1.17734,1.12678,1.33224,0.73726,0.57699,0.65602,0.40313,1.4316,1.32275,1.48128,0.00128742,0.00128742,0.00128742
25,699.665,1.17095,1.13351,1.33226,0.75058,0.61249,0.69941,0.41922,1.40865,1.19638,1.44948,0.00127092,0.00127092,0.00127092
26,719.067,1.1518,1.11399,1.32537,0.73417,0.62033,0.70061,0.43192,1.35732,1.20868,1.4177,0.00125442,0.00125442,0.00125442
27,738.609,1.14106,1.08873,1.31549,0.77562,0.60829,0.7034,0.43529,1.39118,1.1666,1.43653,0.00123791,0.00123791,0.00123791
28,758.065,1.14852,1.07968,1.30106,0.74351,0.59167,0.68294,0.4287,1.37308,1.25782,1.44282,0.00122141,0.00122141,0.00122141
29,777.558,1.13862,1.0815,1.30702,0.76148,0.612,0.69928,0.43085,1.3865,1.24018,1.4354,0.00120491,0.00120491,0.00120491
30,796.883,1.11411,1.05046,1.28767,0.77944,0.62298,0.70432,0.43366,1.37008,1.18101,1.43653,0.0011884,0.0011884,0.0011884
31,816.131,1.10805,1.04531,1.29571,0.76901,0.61885,0.71091,0.4396,1.37909,1.18875,1.44439,0.0011719,0.0011719,0.0011719
32,835.4,1.13262,1.02467,1.29153,0.78558,0.6061,0.70295,0.43648,1.3961,1.16652,1.43644,0.0011554,0.0011554,0.0011554
33,854.669,1.09047,1.01537,1.27308,0.77094,0.62151,0.70593,0.44019,1.37399,1.18323,1.43868,0.00113889,0.00113889,0.00113889
34,874.025,1.11093,1.0188,1.28895,0.77167,0.62834,0.71826,0.45056,1.33929,1.1524,1.39262,0.00112239,0.00112239,0.00112239
35,893.514,1.11114,1.02315,1.28696,0.75434,0.62474,0.71127,0.43945,1.35745,1.1852,1.41964,0.00110589,0.00110589,0.00110589
36,912.753,1.07064,0.99221,1.26494,0.78367,0.63408,0.73244,0.45747,1.36166,1.09655,1.39999,0.00108938,0.00108938,0.00108938
37,932.312,1.09504,0.99489,1.27736,0.73041,0.61532,0.68243,0.42624,1.34941,1.22031,1.42134,0.00107288,0.00107288,0.00107288
38,951.529,1.05088,0.95662,1.2573,0.76377,0.62015,0.71824,0.44911,1.33743,1.15821,1.40145,0.00105638,0.00105638,0.00105638
39,970.982,1.07674,0.97832,1.26641,0.75443,0.63986,0.70827,0.44815,1.33081,1.14639,1.39535,0.00103987,0.00103987,0.00103987
40,990.496,1.07177,0.97114,1.25125,0.77006,0.63582,0.71974,0.45717,1.30974,1.11783,1.39131,0.00102337,0.00102337,0.00102337
41,1010.12,1.05399,0.94741,1.25237,0.77804,0.63878,0.72652,0.4557,1.33825,1.09768,1.38405,0.00100687,0.00100687,0.00100687
42,1029.72,1.06369,0.9399,1.24724,0.78331,0.64253,0.72535,0.46315,1.33875,1.11234,1.38813,0.000990365,0.000990365,0.000990365
43,1049.42,1.03458,0.91409,1.23322,0.79004,0.63834,0.73362,0.46881,1.29139,1.09768,1.3633,0.000973861,0.000973861,0.000973861
44,1069.1,1.03091,0.93293,1.24012,0.78921,0.63074,0.72367,0.46547,1.31255,1.09056,1.39874,0.000957358,0.000957358,0.000957358
45,1088.78,1.01896,0.909,1.23109,0.80681,0.62162,0.72615,0.4604,1.32766,1.09815,1.38783,0.000940855,0.000940855,0.000940855
46,1108.31,1.02887,0.89831,1.22515,0.79681,0.64431,0.73437,0.47693,1.2768,1.06811,1.34708,0.000924352,0.000924352,0.000924352
47,1127.6,1.00892,0.88933,1.22306,0.80117,0.64065,0.72595,0.46562,1.31053,1.08775,1.37338,0.000907848,0.000907848,0.000907848
48,1146.71,1.00415,0.89076,1.21785,0.79501,0.65144,0.73384,0.46963,1.32448,1.05389,1.37769,0.000891345,0.000891345,0.000891345
49,1165.85,1.00988,0.87202,1.20876,0.79921,0.63801,0.73363,0.47587,1.2892,1.0701,1.36097,0.000874842,0.000874842,0.000874842
50,1184.95,0.99178,0.86276,1.20273,0.78872,0.66753,0.75003,0.48736,1.28722,1.02811,1.35722,0.000858338,0.000858338,0.000858338
51,1204.09,1.00504,0.85311,1.2101,0.79013,0.65491,0.74393,0.46613,1.32024,1.05826,1.36371,0.000841835,0.000841835,0.000841835
52,1223.24,0.99739,0.84613,1.19513,0.80059,0.654,0.74348,0.48126,1.27613,1.03004,1.34492,0.000825332,0.000825332,0.000825332
53,1242.33,0.9944,0.86638,1.20674,0.80576,0.63718,0.7391,0.48065,1.28925,1.05078,1.34926,0.000808828,0.000808828,0.000808828
54,1261.47,0.99238,0.84429,1.19517,0.80474,0.65011,0.74452,0.4816,1.27223,1.04396,1.33693,0.000792325,0.000792325,0.000792325
55,1280.58,0.96803,0.83053,1.19364,0.80786,0.65027,0.74424,0.47277,1.30269,1.0445,1.37091,0.000775822,0.000775822,0.000775822
56,1299.7,0.96222,0.81282,1.18528,0.81031,0.65662,0.7523,0.48345,1.27785,1.01281,1.34705,0.000759318,0.000759318,0.000759318
57,1318.78,0.96956,0.82114,1.18116,0.81403,0.64732,0.75327,0.48471,1.28467,1.02475,1.34991,0.000742815,0.000742815,0.000742815
58,1337.88,0.9421,0.80166,1.1711,0.7737,0.67451,0.75079,0.48638,1.29209,1.01949,1.35693,0.000726312,0.000726312,0.000726312
59,1356.99,0.95973,0.80448,1.16792,0.81539,0.63948,0.74774,0.48015,1.31271,1.04328,1.37273,0.000709809,0.000709809,0.000709809
60,1376.1,0.96723,0.81875,1.19463,0.81795,0.64808,0.75336,0.48331,1.29361,1.01434,1.35488,0.000693305,0.000693305,0.000693305
61,1395.17,0.96325,0.801,1.18637,0.79878,0.65102,0.75082,0.48536,1.29372,1.02183,1.35213,0.000676802,0.000676802,0.000676802
62,1414.26,0.94242,0.7882,1.17271,0.79018,0.65096,0.74899,0.49045,1.28405,1.02537,1.34941,0.000660299,0.000660299,0.000660299
63,1433.38,0.94614,0.7866,1.17008,0.807,0.65438,0.75328,0.49269,1.275,1.01603,1.33992,0.000643795,0.000643795,0.000643795
64,1452.5,0.93126,0.78011,1.16171,0.81719,0.6507,0.76015,0.49693,1.26909,1.00057,1.34085,0.000627292,0.000627292,0.000627292
65,1471.58,0.93235,0.76134,1.16272,0.79589,0.67316,0.76095,0.49372,1.27776,0.98884,1.3414,0.000610789,0.000610789,0.000610789
66,1490.68,0.89561,0.75132,1.15399,0.79958,0.66338,0.75345,0.49369,1.27151,0.98835,1.34982,0.000594286,0.000594286,0.000594286
67,1509.77,0.92292,0.75813,1.15179,0.80657,0.65863,0.75317,0.49237,1.28411,1.00559,1.34999,0.000577782,0.000577782,0.000577782
68,1528.85,0.91293,0.73866,1.14725,0.81834,0.66125,0.75646,0.49675,1.28225,1.01951,1.35216,0.000561279,0.000561279,0.000561279
69,1547.9,0.89603,0.73829,1.14618,0.80671,0.66064,0.75692,0.4933,1.27873,0.98739,1.3597,0.000544776,0.000544776,0.000544776
70,1566.94,0.91179,0.74547,1.14682,0.80729,0.67183,0.76477,0.49867,1.2742,0.99327,1.33833,0.000528272,0.000528272,0.000528272
71,1586.04,0.87822,0.72109,1.12996,0.83222,0.66475,0.76815,0.5014,1.27844,0.96953,1.36186,0.000511769,0.000511769,0.000511769
72,1605.12,0.8892,0.71812,1.13515,0.79933,0.65764,0.74689,0.48968,1.27612,0.99731,1.36396,0.000495266,0.000495266,0.000495266
73,1624.16,0.88493,0.70708,1.13643,0.82919,0.64861,0.76116,0.49933,1.27859,0.99565,1.35353,0.000478762,0.000478762,0.000478762
74,1643.27,0.88958,0.71034,1.13065,0.82411,0.64588,0.75113,0.49335,1.27055,0.99507,1.33825,0.000462259,0.000462259,0.000462259
75,1662.56,0.88538,0.71174,1.13134,0.82739,0.66946,0.7656,0.50224,1.26047,0.97274,1.33317,0.000445756,0.000445756,0.000445756
76,1681.86,0.88796,0.70862,1.13177,0.83071,0.66453,0.76071,0.50022,1.27483,0.96855,1.34404,0.000429253,0.000429253,0.000429253
