epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4937,1.40178,2.1606,1.31311,0.67273,0.21667,0.2861,0.15361,1.6653,2.3025,1.54719,0.000550522,0.000550522,0.000550522
2,46.3882,1.5973,1.83665,1.45577,0.36033,0.22107,0.20181,0.09351,1.93102,2.18667,1.73997,0.0010925,0.0010925,0.0010925
3,67.8743,1.70107,1.88617,1.5595,0.39298,0.24733,0.21772,0.09755,2.00444,2.33507,1.79672,0.00162072,0.00162072,0.00162072
4,89.2347,1.70787,1.86792,1.56014,0.37033,0.25653,0.23145,0.10652,1.98728,2.08199,1.80886,0.00160511,0.00160511,0.00160511
5,110.55,1.68377,1.79162,1.55742,0.43285,0.30369,0.30686,0.15699,1.80355,1.85185,1.641,0.00158448,0.00158448,0.00158448
6,131.898,1.6321,1.72989,1.53101,0.39574,0.33424,0.30182,0.14923,1.77808,1.84829,1.6277,0.00156385,0.00156385,0.00156385
7,153.54,1.61565,1.70602,1.50904,0.45953,0.34347,0.33846,0.17081,1.74522,1.6992,1.59904,0.00154323,0.00154323,0.00154323
8,174.94,1.60909,1.68034,1.49933,0.47793,0.31775,0.3133,0.1565,1.75227,1.80818,1.57618,0.0015226,0.0015226,0.0015226
9,196.36,1.57848,1.61961,1.47652,0.45926,0.30885,0.31667,0.16716,1.69471,1.77596,1.57102,0.00150197,0.00150197,0.00150197
10,218.091,1.55336,1.60296,1.47134,0.4816,0.3414,0.35025,0.17782,1.69069,1.71621,1.5331,0.00148134,0.00148134,0.00148134
11,239.581,1.53949,1.57812,1.46319,0.51402,0.35956,0.37943,0.19659,1.6419,1.5869,1.52084,0.00146071,0.00146071,0.00146071
12,260.858,1.5315,1.55177,1.44773,0.52253,0.38619,0.3901,0.20636,1.62667,1.56715,1.4998,0.00144008,0.00144008,0.00144008
13,282.176,1.49756,1.50412,1.42234,0.46551,0.36567,0.36608,0.19636,1.65323,1.56558,1.51138,0.00141945,0.00141945,0.00141945
14,303.516,1.49713,1.50118,1.42019,0.50693,0.37039,0.38756,0.20296,1.62939,1.53127,1.48917,0.00139882,0.00139882,0.00139882
15,324.963,1.47764,1.46894,1.40137,0.47624,0.38074,0.37921,0.20398,1.63409,1.60106,1.51375,0.00137819,0.00137819,0.00137819
16,346.333,1.46677,1.45288,1.41608,0.55348,0.3535,0.39617,0.21638,1.59031,1.52352,1.45243,0.00135756,0.00135756,0.00135756
17,368.265,1.46374,1.44857,1.40981,0.54859,0.37918,0.40012,0.21244,1.60405,1.51834,1.48665,0.00133693,0.00133693,0.00133693
18,390.083,1.44959,1.4274,1.40511,0.48787,0.39454,0.38098,0.20575,1.57599,1.55926,1.46462,0.0013163,0.0013163,0.0013163
19,411.406,1.40474,1.38062,1.3744,0.5127,0.37712,0.39195,0.21283,1.61067,1.51663,1.49045,0.00129568,0.00129568,0.00129568
20,432.697,1.43483,1.41918,1.39102,0.56473,0.39848,0.41893,0.22997,1.5502,1.4217,1.45225,0.00127505,0.00127505,0.00127505
21,454.065,1.40892,1.37634,1.36989,0.52601,0.38953,0.40478,0.22609,1.53765,1.46001,1.43179,0.00125442,0.00125442,0.00125442
22,475.394,1.40803,1.35863,1.36166,0.56961,0.36863,0.41687,0.23235,1.54116,1.42438,1.43068,0.00123379,0.00123379,0.00123379
23,496.727,1.38702,1.3452,1.35928,0.56308,0.3994,0.42783,0.23515,1.53328,1.43142,1.43014,0.00121316,0.00121316,0.00121316
24,518.054,1.39366,1.34917,1.35094,0.60265,0.38236,0.41649,0.23143,1.53965,1.49231,1.43422,0.00119253,0.00119253,0.00119253
25,539.334,1.39252,1.31292,1.34578,0.49288,0.41192,0.41071,0.22706,1.55741,1.42479,1.43755,0.0011719,0.0011719,0.0011719
26,560.581,1.37388,1.33343,1.35837,0.57191,0.38425,0.41847,0.23605,1.53438,1.48641,1.45128,0.00115127,0.00115127,0.00115127
27,581.925,1.36958,1.29942,1.33572,0.55555,0.38966,0.41889,0.23326,1.54257,1.42816,1.42166,0.00113064,0.00113064,0.00113064
28,603.147,1.35629,1.29096,1.33822,0.57486,0.41694,0.44309,0.24697,1.5324,1.36652,1.42736,0.00111001,0.00111001,0.00111001
29,624.719,1.35732,1.28911,1.33063,0.55996,0.4129,0.44383,0.24692,1.49856,1.36864,1.39964,0.00108938,0.00108938,0.00108938
30,645.911,1.32871,1.2368,1.30179,0.58539,0.40016,0.44137,0.24837,1.50795,1.39856,1.39948,0.00106876,0.00106876,0.00106876
31,667.168,1.33872,1.25739,1.32112,0.56891,0.41632,0.44364,0.25299,1.47968,1.34375,1.38194,0.00104813,0.00104813,0.00104813
32,688.431,1.31761,1.22309,1.30273,0.53926,0.4041,0.42659,0.2366,1.5085,1.42438,1.40331,0.0010275,0.0010275,0.0010275
33,709.625,1.32225,1.21338,1.29917,0.61074,0.40809,0.45335,0.25622,1.47855,1.32456,1.38791,0.00100687,0.00100687,0.00100687
34,730.867,1.29823,1.20574,1.303,0.59189,0.42782,0.45266,0.25867,1.49015,1.32792,1.39732,0.000986239,0.000986239,0.000986239
35,752.177,1.30668,1.19885,1.30541,0.57267,0.41666,0.44848,0.25027,1.49839,1.32634,1.39634,0.00096561,0.00096561,0.00096561
36,773.387,1.30162,1.17563,1.28226,0.57739,0.41391,0.44436,0.25364,1.48439,1.32406,1.39063,0.000944981,0.000944981,0.000944981
37,794.637,1.30603,1.2058,1.29108,0.59068,0.42101,0.44822,0.25158,1.47245,1.33566,1.39007,0.000924352,0.000924352,0.000924352
38,815.89,1.29221,1.1837,1.27966,0.56107,0.42307,0.45332,0.25276,1.48181,1.32072,1.37965,0.000903722,0.000903722,0.000903722
39,837.174,1.2875,1.17153,1.2859,0.60622,0.42015,0.46894,0.26591,1.46221,1.31015,1.37704,0.000883093,0.000883093,0.000883093
40,858.453,1.27024,1.14015,1.26459,0.62038,0.42693,0.46824,0.26915,1.45139,1.29227,1.37043,0.000862464,0.000862464,0.000862464
41,879.684,1.28853,1.16793,1.28068,0.63823,0.40664,0.46408,0.26612,1.4653,1.27124,1.37877,0.000841835,0.000841835,0.000841835
42,900.867,1.25643,1.12752,1.27498,0.63423,0.39305,0.46174,0.26544,1.48061,1.31205,1.38391,0.000821206,0.000821206,0.000821206
43,922.057,1.26499,1.12251,1.26456,0.60866,0.42845,0.47299,0.26974,1.44586,1.27194,1.3726,0.000800577,0.000800577,0.000800577
44,943.25,1.24082,1.11776,1.25682,0.60062,0.42739,0.47169,0.26894,1.47845,1.30307,1.38456,0.000779948,0.000779948,0.000779948
45,964.483,1.24028,1.11231,1.24452,0.58319,0.45189,0.47311,0.2758,1.42177,1.24954,1.3615,0.000759318,0.000759318,0.000759318
46,985.707,1.24027,1.10503,1.2509,0.62129,0.43144,0.47485,0.27261,1.4595,1.27698,1.36804,0.000738689,0.000738689,0.000738689
47,1006.88,1.22872,1.08009,1.2412,0.63761,0.43975,0.48821,0.27842,1.43463,1.23285,1.36129,0.00071806,0.00071806,0.00071806
48,1028.11,1.21023,1.0782,1.23715,0.638,0.43661,0.48512,0.27959,1.43617,1.24397,1.36495,0.000697431,0.000697431,0.000697431
49,1049.37,1.22261,1.06749,1.23367,0.64748,0.43516,0.49479,0.28232,1.43999,1.2367,1.35998,0.000676802,0.000676802,0.000676802
50,1070.57,1.21619,1.07157,1.23338,0.63996,0.455,0.50127,0.28314,1.44586,1.21233,1.36067,0.000656173,0.000656173,0.000656173
51,1091.79,1.21817,1.07698,1.24119,0.59943,0.44831,0.48702,0.28039,1.42911,1.2383,1.34199,0.000635544,0.000635544,0.000635544
52,1113.04,1.19889,1.03692,1.21799,0.58151,0.44665,0.47907,0.28247,1.43248,1.22456,1.34986,0.000614915,0.000614915,0.000614915
53,1134.23,1.19561,1.02564,1.2175,0.61673,0.43375,0.4807,0.27798,1.45389,1.2206,1.37124,0.000594286,0.000594286,0.000594286
54,1155.48,1.18036,1.01764,1.21879,0.62126,0.4234,0.47677,0.26934,1.45533,1.22741,1.36187,0.000573656,0.000573656,0.000573656
55,1176.65,1.17925,1.02251,1.20586,0.57549,0.47135,0.49055,0.28081,1.43366,1.21277,1.35492,0.000553027,0.000553027,0.000553027
56,1197.96,1.2026,1.04159,1.22625,0.63466,0.43739,0.49663,0.28926,1.41842,1.19852,1.34284,0.000532398,0.000532398,0.000532398
57,1219.22,1.18192,1.00834,1.21034,0.60502,0.4618,0.50213,0.28728,1.44491,1.1918,1.35297,0.000511769,0.000511769,0.000511769
58,1240.42,1.16216,0.99664,1.20045,0.63271,0.43969,0.4898,0.28122,1.44529,1.18604,1.34761,0.00049114,0.00049114,0.00049114
59,1261.61,1.1585,0.97655,1.19857,0.62664,0.45972,0.50791,0.29283,1.42196,1.18797,1.35015,0.000470511,0.000470511,0.000470511
60,1282.8,1.13381,0.96959,1.1884,0.65222,0.45942,0.50794,0.29123,1.43637,1.17086,1.3499,0.000449882,0.000449882,0.000449882
61,1304,1.15017,0.96587,1.18352,0.62104,0.45703,0.48916,0.28574,1.42179,1.17857,1.34281,0.000429253,0.000429253,0.000429253
62,1325.2,1.15536,0.97362,1.19206,0.63881,0.44166,0.49901,0.28715,1.42719,1.17471,1.35475,0.000408623,0.000408623,0.000408623
63,1346.41,1.13904,0.96644,1.18383,0.65066,0.43637,0.49747,0.2863,1.42315,1.19926,1.34009,0.000387994,0.000387994,0.000387994
64,1367.57,1.12534,0.94642,1.18304,0.58791,0.47572,0.50857,0.29584,1.40178,1.15626,1.33297,0.000367365,0.000367365,0.000367365
65,1388.79,1.12381,0.94295,1.16967,0.62416,0.46855,0.51221,0.29514,1.42146,1.16868,1.35519,0.000346736,0.000346736,0.000346736
66,1409.99,1.11188,0.93193,1.16735,0.6657,0.45517,0.50785,0.29249,1.4122,1.16841,1.34106,0.000326107,0.000326107,0.000326107
67,1431.19,1.12429,0.94654,1.1752,0.62034,0.47686,0.51154,0.29739,1.41268,1.13963,1.3452,0.000305478,0.000305478,0.000305478
68,1452.41,1.10977,0.92416,1.17155,0.61689,0.46197,0.51293,0.29723,1.42938,1.13543,1.35904,0.000284849,0.000284849,0.000284849
69,1473.69,1.10782,0.92042,1.16659,0.64274,0.46681,0.51014,0.29898,1.41655,1.16592,1.34971,0.00026422,0.00026422,0.00026422
70,1494.86,1.0872,0.89471,1.15891,0.6802,0.43628,0.50857,0.29924,1.41786,1.15069,1.34701,0.00024359,0.00024359,0.00024359
