epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1365,1.34584,2.09585,1.27951,0.59325,0.24706,0.29276,0.16481,1.53715,2.20091,1.45411,0.000550522,0.000550522,0.000550522
2,45.5826,1.5389,1.76807,1.41149,0.52712,0.27867,0.28937,0.14049,1.88353,1.99831,1.6965,0.0010925,0.0010925,0.0010925
3,68.4827,1.63048,1.80059,1.50723,0.51571,0.26693,0.27458,0.1311,1.79635,2.74575,1.6489,0.00162072,0.00162072,0.00162072
4,89.8864,1.64154,1.79496,1.51581,0.46124,0.3502,0.33587,0.16019,1.77188,1.85615,1.64964,0.00160511,0.00160511,0.00160511
5,111.714,1.62676,1.75462,1.5213,0.44564,0.30474,0.29796,0.1404,1.881,1.90876,1.69853,0.00158448,0.00158448,0.00158448
6,133.839,1.60207,1.68421,1.50585,0.44917,0.34477,0.33309,0.1693,1.71602,1.80018,1.53799,0.00156385,0.00156385,0.00156385
7,155.98,1.55725,1.64364,1.47198,0.46352,0.37187,0.36549,0.18742,1.70571,1.68008,1.57156,0.00154323,0.00154323,0.00154323
8,178.222,1.56307,1.61453,1.47651,0.52177,0.36594,0.38298,0.20155,1.60978,1.59151,1.49397,0.0015226,0.0015226,0.0015226
9,200.347,1.5295,1.55985,1.45256,0.52879,0.26067,0.29266,0.1444,1.90646,2.16171,1.81116,0.00150197,0.00150197,0.00150197
10,222.386,1.50945,1.54866,1.44921,0.48421,0.39546,0.38063,0.19886,1.6248,1.70813,1.49576,0.00148134,0.00148134,0.00148134
11,244.228,1.49076,1.52619,1.43875,0.49987,0.37795,0.38713,0.20615,1.60212,1.56623,1.4888,0.00146071,0.00146071,0.00146071
12,266.243,1.49102,1.50768,1.42259,0.54846,0.38572,0.39988,0.21979,1.56953,1.51285,1.44979,0.00144008,0.00144008,0.00144008
