epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8851,1.35713,2.38136,1.43515,0.73825,0.24502,0.4005,0.20786,1.70283,2.32584,1.61607,0.000548972,0.000548972,0.000548972
2,45.4881,1.5411,1.98713,1.58518,0.28819,0.3362,0.25454,0.11641,1.96749,2.84836,2.01933,0.0010937,0.0010937,0.0010937
3,66.7095,1.58284,1.98219,1.65255,0.31781,0.31576,0.24415,0.11173,1.98212,2.89383,2.05431,0.00162743,0.00162743,0.00162743
4,87.5705,1.59506,1.9678,1.67317,0.39258,0.35658,0.3168,0.14105,1.89595,2.29291,1.92858,0.00161749,0.00161749,0.00161749
5,108.282,1.57261,1.86493,1.62874,0.40255,0.34187,0.30012,0.13688,1.91516,2.30943,2.00255,0.00160099,0.00160099,0.00160099
6,128.772,1.58868,1.83238,1.65675,0.49025,0.38996,0.37822,0.17918,1.8881,2.01265,1.86844,0.00158448,0.00158448,0.00158448
7,149.334,1.53071,1.74412,1.59086,0.43018,0.36436,0.34001,0.15556,1.89341,2.1903,1.88588,0.00156798,0.00156798,0.00156798
8,170.002,1.49783,1.72218,1.59182,0.51311,0.35572,0.3816,0.20346,1.82335,2.0672,1.86262,0.00155148,0.00155148,0.00155148
9,190.493,1.48189,1.67302,1.58537,0.58504,0.45034,0.47295,0.24982,1.70131,1.772,1.71509,0.00153497,0.00153497,0.00153497
10,210.898,1.44711,1.65121,1.56953,0.55211,0.38573,0.41293,0.21489,1.72791,1.90913,1.78625,0.00151847,0.00151847,0.00151847
11,231.606,1.46794,1.63197,1.56023,0.59352,0.43525,0.47182,0.24191,1.73662,1.72029,1.72885,0.00150197,0.00150197,0.00150197
12,252.191,1.42404,1.56307,1.53411,0.5952,0.42559,0.47104,0.26664,1.70359,1.77545,1.71002,0.00148546,0.00148546,0.00148546
13,272.941,1.41032,1.54047,1.53073,0.60609,0.43157,0.47315,0.26438,1.681,1.7673,1.71466,0.00146896,0.00146896,0.00146896
14,293.542,1.40248,1.53755,1.53491,0.62481,0.45837,0.50112,0.26793,1.68321,1.72772,1.72562,0.00145246,0.00145246,0.00145246
15,313.971,1.38615,1.50144,1.50128,0.62641,0.44707,0.49415,0.27211,1.63717,1.65718,1.65824,0.00143595,0.00143595,0.00143595
16,334.546,1.39101,1.48566,1.51279,0.58977,0.40902,0.46326,0.26071,1.71413,1.74605,1.74291,0.00141945,0.00141945,0.00141945
17,354.933,1.35537,1.48321,1.49917,0.69537,0.4728,0.5472,0.30784,1.58707,1.56677,1.63051,0.00140295,0.00140295,0.00140295
18,375.548,1.33513,1.4577,1.48345,0.61065,0.45695,0.50205,0.28027,1.62242,1.65146,1.65765,0.00138644,0.00138644,0.00138644
19,396.078,1.31572,1.41225,1.45448,0.6494,0.4887,0.55382,0.32743,1.55183,1.54552,1.58161,0.00136994,0.00136994,0.00136994
20,416.653,1.32952,1.40145,1.46529,0.626,0.44754,0.48948,0.26138,1.68518,1.65934,1.67253,0.00135344,0.00135344,0.00135344
21,437.18,1.3303,1.39861,1.4548,0.6361,0.44922,0.50111,0.29334,1.59578,1.62544,1.62933,0.00133693,0.00133693,0.00133693
22,457.583,1.29805,1.35992,1.44044,0.63726,0.5174,0.54435,0.30607,1.60335,1.54422,1.62343,0.00132043,0.00132043,0.00132043
23,477.898,1.29943,1.35625,1.44538,0.63421,0.46606,0.52127,0.30051,1.63191,1.69891,1.65444,0.00130393,0.00130393,0.00130393
24,498.393,1.29895,1.33205,1.42736,0.67645,0.49061,0.55938,0.32813,1.56135,1.49617,1.59961,0.00128742,0.00128742,0.00128742
25,518.776,1.27221,1.32527,1.42317,0.65085,0.51605,0.57038,0.32171,1.5537,1.47895,1.58354,0.00127092,0.00127092,0.00127092
26,539.099,1.26186,1.32604,1.41678,0.67616,0.52377,0.58293,0.34506,1.53245,1.4459,1.57223,0.00125442,0.00125442,0.00125442
27,559.465,1.26357,1.29136,1.41165,0.67255,0.5213,0.57742,0.33865,1.51456,1.43159,1.54498,0.00123791,0.00123791,0.00123791
28,579.771,1.23773,1.24283,1.38322,0.69592,0.52416,0.58821,0.34298,1.546,1.44288,1.58488,0.00122141,0.00122141,0.00122141
29,599.975,1.24274,1.25848,1.39569,0.69862,0.50869,0.57828,0.33999,1.55853,1.43054,1.58497,0.00120491,0.00120491,0.00120491
30,620.323,1.22341,1.24696,1.38021,0.66108,0.50434,0.56551,0.33388,1.51186,1.4521,1.5831,0.0011884,0.0011884,0.0011884
31,640.568,1.22089,1.22941,1.38096,0.6611,0.50972,0.56883,0.33423,1.56425,1.49044,1.58902,0.0011719,0.0011719,0.0011719
32,660.84,1.22606,1.21666,1.37578,0.7107,0.51996,0.58796,0.34588,1.53429,1.39462,1.56621,0.0011554,0.0011554,0.0011554
33,681.171,1.20561,1.20781,1.36412,0.68474,0.50049,0.57348,0.33555,1.50518,1.39623,1.55332,0.00113889,0.00113889,0.00113889
34,701.604,1.21221,1.21957,1.37272,0.6384,0.51449,0.55462,0.32222,1.53727,1.51515,1.55614,0.00112239,0.00112239,0.00112239
35,721.886,1.21944,1.20336,1.38289,0.72043,0.51661,0.59258,0.35026,1.50573,1.35003,1.53239,0.00110589,0.00110589,0.00110589
36,742.197,1.17506,1.17257,1.34157,0.70735,0.54217,0.60867,0.35824,1.48309,1.3868,1.50799,0.00108938,0.00108938,0.00108938
37,762.515,1.19797,1.18655,1.3631,0.70542,0.52209,0.59477,0.35351,1.48479,1.3985,1.53406,0.00107288,0.00107288,0.00107288
38,782.754,1.1601,1.1483,1.3456,0.66123,0.53258,0.59462,0.35781,1.49332,1.39031,1.52788,0.00105638,0.00105638,0.00105638
39,803.127,1.18407,1.16395,1.34962,0.70822,0.54013,0.6177,0.37553,1.46252,1.31493,1.49508,0.00103987,0.00103987,0.00103987
40,823.429,1.17196,1.13678,1.33205,0.71294,0.54116,0.61319,0.36798,1.48344,1.33335,1.53855,0.00102337,0.00102337,0.00102337
41,843.713,1.16711,1.12754,1.34039,0.70542,0.52217,0.59234,0.36132,1.46921,1.35178,1.50989,0.00100687,0.00100687,0.00100687
42,863.984,1.16495,1.12202,1.32382,0.73729,0.53706,0.61078,0.37243,1.47183,1.31755,1.51322,0.000990365,0.000990365,0.000990365
43,884.287,1.13418,1.09607,1.32116,0.70859,0.53736,0.6038,0.3575,1.48636,1.34216,1.52945,0.000973861,0.000973861,0.000973861
44,904.586,1.14938,1.11713,1.32821,0.71224,0.53749,0.61099,0.36645,1.48443,1.33344,1.53235,0.000957358,0.000957358,0.000957358
45,924.859,1.12507,1.07999,1.31168,0.73473,0.51804,0.61159,0.37264,1.45889,1.35767,1.52713,0.000940855,0.000940855,0.000940855
46,945.237,1.14631,1.09134,1.31828,0.7536,0.53079,0.6245,0.37876,1.4545,1.2954,1.49662,0.000924352,0.000924352,0.000924352
47,965.545,1.1005,1.07242,1.2961,0.67197,0.5369,0.59422,0.36078,1.47215,1.35432,1.52992,0.000907848,0.000907848,0.000907848
48,985.916,1.11339,1.06773,1.29677,0.75572,0.55224,0.63478,0.38859,1.4411,1.25812,1.48948,0.000891345,0.000891345,0.000891345
49,1006.19,1.10601,1.03852,1.28542,0.71746,0.56465,0.63565,0.39088,1.44807,1.28205,1.50489,0.000874842,0.000874842,0.000874842
50,1026.51,1.09803,1.02274,1.28765,0.7474,0.55468,0.63934,0.38927,1.44789,1.23976,1.49404,0.000858338,0.000858338,0.000858338
51,1046.85,1.10831,1.02695,1.29418,0.71488,0.55675,0.62643,0.37272,1.45691,1.28986,1.49946,0.000841835,0.000841835,0.000841835
52,1067.31,1.10576,1.02184,1.28176,0.76169,0.53043,0.62486,0.37303,1.49751,1.28571,1.50744,0.000825332,0.000825332,0.000825332
53,1087.78,1.08905,1.02914,1.27447,0.73871,0.56102,0.6365,0.38711,1.4564,1.25511,1.49797,0.000808828,0.000808828,0.000808828
54,1108.3,1.09955,1.00917,1.27475,0.75803,0.54218,0.6219,0.37963,1.44661,1.29496,1.48914,0.000792325,0.000792325,0.000792325
55,1128.65,1.06844,1.00434,1.27469,0.73963,0.56442,0.63235,0.37612,1.44934,1.26902,1.50037,0.000775822,0.000775822,0.000775822
56,1149.05,1.06739,0.96791,1.26842,0.74998,0.53433,0.61992,0.37666,1.45214,1.27869,1.49177,0.000759318,0.000759318,0.000759318
57,1169.54,1.06621,0.97796,1.25622,0.77172,0.53747,0.63894,0.3869,1.45574,1.24406,1.50261,0.000742815,0.000742815,0.000742815
58,1190,1.04863,0.95596,1.24679,0.75592,0.55607,0.63592,0.39158,1.44586,1.26108,1.49134,0.000726312,0.000726312,0.000726312
59,1210.57,1.06033,0.95996,1.24868,0.73288,0.57132,0.64258,0.38685,1.45927,1.24389,1.49874,0.000709809,0.000709809,0.000709809
60,1230.87,1.05168,0.97369,1.26257,0.77254,0.55521,0.64729,0.39546,1.42552,1.24895,1.47037,0.000693305,0.000693305,0.000693305
