epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.36974,1.01158,2.49007,1.18423,0.00654,0.98077,0.66879,0.42014,0.99375,2.68505,1.21464,0.00014,0.00014,0.00014
2,5.40567,0.84092,2.07917,1.08199,0.00577,0.86538,0.45123,0.27458,1.20238,2.72397,1.39685,0.00029703,0.00029703,0.00029703
3,7.14827,0.88712,1.6663,1.12126,0.00526,0.78846,0.44928,0.25477,1.75179,2.88602,1.74813,0.000450892,0.000450892,0.000450892
4,8.91721,0.93336,1.40347,1.15697,0.8872,0.15151,0.59516,0.37609,1.37905,2.64116,1.5235,0.000601586,0.000601586,0.000601586
5,10.6902,0.94638,1.29794,1.14265,0.96966,0.61538,0.8803,0.55261,1.11064,2.2379,1.31738,0.000749112,0.000749112,0.000749112
6,12.5044,0.91254,1.13265,1.14093,0.91259,0.82692,0.90731,0.66518,0.8835,1.43299,1.20286,0.00089347,0.00089347,0.00089347
7,14.2997,0.96262,1.13976,1.13347,0.72274,0.80214,0.81816,0.57503,0.86561,1.64433,1.18072,0.00103466,0.00103466,0.00103466
8,16.089,0.89526,1.03112,1.09376,0.87164,0.80769,0.89102,0.65232,0.88708,1.53588,1.23807,0.00117268,0.00117268,0.00117268
9,17.868,0.95296,1.02625,1.11858,0.7989,0.84044,0.88953,0.53427,1.16952,1.64779,1.41007,0.00130754,0.00130754,0.00130754
10,19.5983,0.94104,0.99229,1.11946,0.98234,0.78846,0.92772,0.66475,0.94547,1.48571,1.28019,0.00143922,0.00143922,0.00143922
11,21.3342,0.95111,1.04499,1.14277,0.81959,0.80769,0.87604,0.57916,1.08965,1.79177,1.40779,0.00156774,0.00156774,0.00156774
12,23.0424,0.93693,1.03563,1.13439,0.88507,0.84615,0.90306,0.66939,0.8474,1.44791,1.20822,0.00169309,0.00169309,0.00169309
13,24.7573,0.86547,0.96311,1.08531,0.86983,0.86538,0.92744,0.65501,0.96478,1.28554,1.24681,0.0017624,0.0017624,0.0017624
14,26.4627,0.89592,0.97566,1.09856,0.78579,0.84615,0.91036,0.64569,0.98458,1.2119,1.30894,0.0017426,0.0017426,0.0017426
15,28.1748,0.89396,0.93949,1.08726,0.7948,0.84615,0.86574,0.56074,1.18898,1.37222,1.55232,0.0017228,0.0017228,0.0017228
16,29.8839,0.92305,0.9044,1.10782,0.74792,0.69231,0.74844,0.50052,1.06823,1.44127,1.4083,0.001703,0.001703,0.001703
17,31.6054,0.89471,0.87094,1.08722,0.87981,0.80769,0.88828,0.57146,1.09606,1.20768,1.39867,0.0016832,0.0016832,0.0016832
18,33.3349,0.86559,0.9126,1.08641,0.86183,0.83972,0.89343,0.58442,1.08251,1.19014,1.45918,0.0016634,0.0016634,0.0016634
19,35.0592,0.88205,0.84619,1.08172,0.85057,0.88462,0.891,0.53347,1.16924,1.13071,1.45173,0.0016436,0.0016436,0.0016436
20,36.776,0.86137,0.8605,1.08083,0.91948,0.8785,0.95563,0.68523,0.94935,0.90099,1.26677,0.0016238,0.0016238,0.0016238
21,38.5581,0.84822,0.80356,1.05173,0.87578,0.82692,0.9084,0.61634,1.07449,1.14808,1.39066,0.001604,0.001604,0.001604
22,40.2935,0.91091,0.89196,1.10219,0.86911,0.8939,0.90349,0.58158,1.12797,1.1676,1.33486,0.0015842,0.0015842,0.0015842
23,42.0221,0.87442,0.86774,1.10253,0.86122,0.92308,0.92114,0.55186,1.33277,1.17379,1.46696,0.0015644,0.0015644,0.0015644
24,43.763,0.82815,0.79114,1.05309,0.94929,0.86538,0.93461,0.62092,1.13205,1.04556,1.31383,0.0015446,0.0015446,0.0015446
25,45.4845,0.88104,0.81879,1.13119,0.8464,0.78846,0.88861,0.5505,1.29161,1.14008,1.45718,0.0015248,0.0015248,0.0015248
26,47.2435,0.89806,0.80927,1.0766,0.8626,0.84513,0.92399,0.62876,1.04621,1.05267,1.31206,0.001505,0.001505,0.001505
27,48.9941,0.82,0.76477,1.06095,0.89965,0.86212,0.93004,0.57897,1.15418,0.98477,1.36665,0.0014852,0.0014852,0.0014852
28,50.742,0.83647,0.79031,1.05712,0.95997,0.92237,0.98108,0.75326,0.8586,0.74226,1.11475,0.0014654,0.0014654,0.0014654
29,52.4762,0.80107,0.73683,1.0667,0.92194,0.90853,0.96913,0.73495,0.87708,0.71554,1.14896,0.0014456,0.0014456,0.0014456
30,54.2044,0.74486,0.71182,1.00381,0.93049,0.92308,0.96917,0.75317,0.77999,0.7193,1.08823,0.0014258,0.0014258,0.0014258
31,55.9508,0.72419,0.70271,0.99632,0.95878,0.90385,0.9695,0.76829,0.79742,0.70223,1.10117,0.001406,0.001406,0.001406
32,57.75,0.74755,0.7057,1.01577,0.94106,0.92116,0.97881,0.75491,0.80775,0.66551,1.13333,0.0013862,0.0013862,0.0013862
33,59.495,0.75032,0.68228,1.03225,0.89174,0.9505,0.9552,0.70936,0.83699,0.67962,1.1339,0.0013664,0.0013664,0.0013664
34,61.2288,0.76556,0.6874,1.01211,0.90252,0.96154,0.95864,0.71574,0.9016,0.69283,1.14523,0.0013466,0.0013466,0.0013466
35,62.9489,0.7496,0.68209,1.02215,0.89238,0.95683,0.97055,0.75468,0.8211,0.6408,1.11637,0.0013268,0.0013268,0.0013268
36,64.7187,0.79141,0.71275,1.03261,0.94547,0.92308,0.9774,0.76753,0.77472,0.63139,1.1068,0.001307,0.001307,0.001307
37,66.545,0.75254,0.66898,1.0355,0.92549,0.9556,0.97673,0.72389,0.88545,0.66725,1.16333,0.0012872,0.0012872,0.0012872
38,68.3174,0.7351,0.65142,1.0063,0.8784,0.97247,0.97145,0.71452,0.89712,0.69143,1.14094,0.0012674,0.0012674,0.0012674
39,70.0521,0.74386,0.66421,1.0204,0.97285,0.88462,0.97663,0.73294,0.85028,0.66042,1.10954,0.0012476,0.0012476,0.0012476
40,71.7828,0.67716,0.61945,0.9875,0.94128,0.92487,0.98445,0.76447,0.75977,0.62861,1.09285,0.0012278,0.0012278,0.0012278
41,73.4872,0.73388,0.65614,1.0203,0.96137,0.95712,0.98319,0.77059,0.75544,0.61409,1.08123,0.001208,0.001208,0.001208
