epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67866,1.31564,2.81977,1.29014,0.00691,0.98077,0.73138,0.48695,0.849,2.50804,0.89078,0.00014,0.00014,0.00014
2,3.87474,1.08109,2.43418,1.11642,0.00749,1,0.83604,0.54417,0.85966,2.41914,0.89764,0.00029703,0.00029703,0.00029703
3,4.78869,1.13114,1.99978,1.11634,0.00791,1,0.82187,0.52558,0.95131,2.38968,0.92348,0.000450892,0.000450892,0.000450892
4,5.625,1.07537,1.66987,1.11029,1,0.54935,0.829,0.5917,0.8552,2.22553,0.91865,0.000601586,0.000601586,0.000601586
5,6.47053,1.13175,1.32244,1.13666,1,0.43509,0.80164,0.5117,1.05309,2.15149,1.01364,0.000749112,0.000749112,0.000749112
6,7.30855,1.09029,1.123,1.12705,1,0.37273,0.76722,0.45042,1.36304,2.20402,1.23676,0.00089347,0.00089347,0.00089347
7,8.13271,1.17735,1.10254,1.16659,0.96764,0.82692,0.90703,0.59685,1.17727,1.39918,1.15066,0.00103466,0.00103466,0.00103466
8,8.9555,1.11204,1.02685,1.12284,0.85596,0.76923,0.83699,0.45336,1.3615,1.37354,1.30528,0.00117268,0.00117268,0.00117268
9,9.77623,1.11748,1.02418,1.10604,0.82104,0.69231,0.82661,0.39233,1.50719,1.59179,1.43201,0.00130754,0.00130754,0.00130754
10,10.5937,1.03811,0.96723,1.09425,0.93593,0.84286,0.90924,0.48954,1.39216,1.20256,1.31313,0.00143922,0.00143922,0.00143922
11,11.4278,1.07695,0.99106,1.13505,0.90839,0.86538,0.94546,0.50646,1.37425,1.19114,1.33173,0.00156774,0.00156774,0.00156774
12,12.2473,1.07593,0.99475,1.11924,0.81512,0.93273,0.92458,0.61861,1.08108,1.07867,1.0915,0.00169309,0.00169309,0.00169309
13,13.084,0.99804,0.902,1.07115,0.81371,0.92399,0.94533,0.64919,1.07221,1.04254,1.093,0.0017624,0.0017624,0.0017624
14,13.8972,1.04523,0.93943,1.08843,0.83587,0.82692,0.92628,0.60829,1.089,1.12704,1.13861,0.0017426,0.0017426,0.0017426
15,14.6939,1.01059,0.91927,1.06756,0.68531,0.83766,0.84809,0.55273,1.14688,1.21851,1.17067,0.0017228,0.0017228,0.0017228
16,15.4976,1.04033,0.91226,1.07582,0.65186,0.82819,0.82238,0.51759,1.16081,1.20682,1.18241,0.001703,0.001703,0.001703
17,16.2988,0.99549,0.87324,1.06694,0.86729,0.87978,0.92434,0.6173,1.07058,0.96881,1.11582,0.0016832,0.0016832,0.0016832
18,17.1027,0.99545,0.88914,1.08688,0.95777,0.88462,0.9624,0.653,1.06466,0.87742,1.10917,0.0016634,0.0016634,0.0016634
19,17.909,0.97922,0.85293,1.06152,0.95676,0.96154,0.9863,0.68857,1.01135,0.81414,1.07694,0.0016436,0.0016436,0.0016436
20,18.7144,0.94885,0.83622,1.06383,0.95926,0.94231,0.98127,0.72804,0.93617,0.84671,1.05174,0.0016238,0.0016238,0.0016238
21,19.5384,0.96365,0.8317,1.0669,1,0.9595,0.991,0.69668,0.94125,0.79098,1.04318,0.001604,0.001604,0.001604
22,20.3346,1.03919,0.90596,1.09716,0.97039,0.88462,0.97163,0.68614,1.00016,0.82266,1.10533,0.0015842,0.0015842,0.0015842
