epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8136,0.91072,2.44014,1.1249,0.00667,1,0.86591,0.59674,0.56448,2.57669,0.95037,0.00014,0.00014,0.00014
2,6.64782,0.8068,2.03156,1.06966,0.00667,1,0.80309,0.54164,0.6677,2.51606,1.03546,0.00029703,0.00029703,0.00029703
3,8.39311,0.8278,1.60563,1.0927,0.00667,1,0.94869,0.69382,0.7528,2.36017,1.10724,0.000450892,0.000450892,0.000450892
4,10.1742,0.88285,1.37635,1.12888,1,0.48214,0.88557,0.62797,0.90224,2.27292,1.26464,0.000601586,0.000601586,0.000601586
5,11.8844,0.90658,1.23291,1.13436,1,0.22324,0.82664,0.58149,0.9065,2.40813,1.26138,0.000749112,0.000749112,0.000749112
6,13.5831,0.95363,1.1826,1.15006,0.95483,0.8131,0.90953,0.60902,0.99371,1.80667,1.37023,0.00089347,0.00089347,0.00089347
7,15.2863,0.92833,1.10193,1.11108,0.89654,0.82692,0.87773,0.59063,0.99946,1.72497,1.39816,0.00103466,0.00103466,0.00103466
8,16.9868,0.8881,1.01535,1.09436,0.82937,0.74786,0.83965,0.5002,1.09338,1.78749,1.43456,0.00117268,0.00117268,0.00117268
9,18.7017,0.86171,1.01095,1.08255,0.70284,0.63682,0.70422,0.39529,1.34153,2.04291,1.66448,0.00130754,0.00130754,0.00130754
10,20.4284,0.84099,0.96581,1.08408,0.81255,0.667,0.72836,0.38612,1.39892,1.98231,1.73688,0.00143922,0.00143922,0.00143922
11,22.1694,0.91449,1.07042,1.1341,0.89082,0.75,0.89091,0.59564,1.25012,1.85636,1.53657,0.00156774,0.00156774,0.00156774
12,23.9006,0.8792,0.9978,1.09489,0.76131,0.80769,0.84206,0.5339,1.12145,1.61556,1.38484,0.00169309,0.00169309,0.00169309
13,25.6282,0.90299,0.95165,1.1009,0.76948,0.55769,0.68677,0.41195,1.28887,1.96302,1.58818,0.0017624,0.0017624,0.0017624
14,27.332,0.92486,0.97616,1.11699,0.63881,0.51923,0.57643,0.32849,1.59218,2.22669,1.88635,0.0017426,0.0017426,0.0017426
15,29.0431,0.92986,0.93423,1.09751,0.85368,0.67308,0.83447,0.49768,1.33333,1.51156,1.62699,0.0017228,0.0017228,0.0017228
16,30.7686,0.89978,0.90978,1.08186,0.78533,0.82692,0.8635,0.55156,1.28473,1.31632,1.60392,0.001703,0.001703,0.001703
17,32.4881,0.88387,0.89261,1.07827,0.88072,0.84615,0.92131,0.62977,1.04765,1.23702,1.3179,0.0016832,0.0016832,0.0016832
18,34.2558,0.87777,0.90876,1.09839,0.93976,0.92308,0.97149,0.71674,0.92531,1.06494,1.25109,0.0016634,0.0016634,0.0016634
19,35.976,0.87465,0.85534,1.08249,0.90059,0.87113,0.96554,0.68808,0.97327,1.01593,1.31743,0.0016436,0.0016436,0.0016436
20,37.7153,0.84763,0.86184,1.08756,0.92191,0.90815,0.97406,0.73213,0.93518,0.97064,1.25007,0.0016238,0.0016238,0.0016238
21,39.4399,0.86409,0.84896,1.08181,0.9099,0.82692,0.92591,0.6774,0.89712,1.04325,1.20666,0.001604,0.001604,0.001604
22,41.1457,0.91057,0.93203,1.11541,0.8724,0.92308,0.95139,0.69376,0.98593,0.92155,1.24061,0.0015842,0.0015842,0.0015842
23,42.8859,0.88968,0.86856,1.10831,0.90099,0.82692,0.90822,0.66619,0.91006,0.98339,1.16661,0.0015644,0.0015644,0.0015644
24,44.6141,0.79868,0.80996,1.03811,0.95992,0.92117,0.95577,0.72057,0.86012,0.80502,1.16667,0.0015446,0.0015446,0.0015446
25,46.3165,0.85611,0.79063,1.09001,0.88324,0.92308,0.94259,0.72659,0.77687,0.77948,1.10116,0.0015248,0.0015248,0.0015248
26,48.0281,0.82814,0.78194,1.03727,0.87274,0.96154,0.92592,0.67749,0.8352,0.87783,1.14204,0.001505,0.001505,0.001505
27,49.7479,0.77619,0.73577,1.03634,0.93664,0.85294,0.95134,0.65706,0.97863,0.87858,1.23726,0.0014852,0.0014852,0.0014852
