epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.40384,0.99811,2.47583,1.17627,0.00667,1,0.83054,0.51579,0.73485,2.60237,1.01295,0.00014,0.00014,0.00014
2,8.42699,0.82527,2.02402,1.07867,0.00667,1,0.6999,0.44757,0.88198,2.54607,1.17311,0.00029703,0.00029703,0.00029703
3,10.3566,0.87982,1.63605,1.13754,0.00667,1,0.86449,0.60859,0.89056,2.42799,1.19402,0.000450892,0.000450892,0.000450892
4,12.5705,0.91121,1.39469,1.17192,1,0.21043,0.65508,0.38782,1.41035,2.61086,1.62142,0.000601586,0.000601586,0.000601586
5,14.3033,0.87713,1.2062,1.11358,1,0.19848,0.54817,0.34939,1.50605,2.73807,1.774,0.000749112,0.000749112,0.000749112
6,16.1157,0.88619,1.12844,1.13826,1,0.35722,0.50299,0.29034,1.96802,2.54007,2.08987,0.00089347,0.00089347,0.00089347
7,17.8344,0.97535,1.15743,1.14114,0.95561,0.41419,0.63431,0.39682,1.46104,2.34824,1.63728,0.00103466,0.00103466,0.00103466
8,19.637,0.89196,1.04666,1.09547,0.87513,0.40385,0.58809,0.35137,1.31634,2.37473,1.49627,0.00117268,0.00117268,0.00117268
9,21.3637,0.92049,1.02889,1.10819,0.65837,0.67308,0.73339,0.44654,1.17992,1.92548,1.37919,0.00130754,0.00130754,0.00130754
10,23.2481,0.85499,0.97268,1.08773,0.78114,0.78846,0.81358,0.46865,1.31918,1.82788,1.52422,0.00143922,0.00143922,0.00143922
11,24.9794,0.97984,1.07976,1.15344,0.7823,0.48077,0.54833,0.26875,1.68882,2.45105,1.92053,0.00156774,0.00156774,0.00156774
12,26.6856,0.97807,1.05441,1.14975,0.90673,0.63462,0.77556,0.49556,1.12996,1.87834,1.41408,0.00169309,0.00169309,0.00169309
13,28.3986,0.96703,0.99275,1.13387,0.77652,0.73511,0.79484,0.46628,1.321,1.74092,1.65064,0.0017624,0.0017624,0.0017624
14,30.1013,0.96384,1.01105,1.11735,0.79547,0.71154,0.78298,0.5267,1.17857,1.60761,1.59163,0.0017426,0.0017426,0.0017426
15,31.8248,0.91533,0.95463,1.08539,0.86803,0.88548,0.92963,0.57853,1.19349,1.23832,1.48428,0.0017228,0.0017228,0.0017228
16,33.6983,0.90159,0.92787,1.09014,0.95514,0.8191,0.90938,0.60323,1.08047,1.20769,1.43979,0.001703,0.001703,0.001703
17,35.4205,0.86765,0.85949,1.08347,1,0.80583,0.89075,0.63838,1.04445,1.072,1.43376,0.0016832,0.0016832,0.0016832
18,37.1515,0.90091,0.92147,1.10921,0.99462,0.88462,0.94709,0.66965,1.00607,0.96826,1.38555,0.0016634,0.0016634,0.0016634
19,38.9086,0.89009,0.85721,1.07152,0.84688,0.84615,0.91154,0.63738,0.96675,1.02918,1.31967,0.0016436,0.0016436,0.0016436
20,40.6303,0.82777,0.86334,1.07033,0.94721,0.90385,0.95844,0.68661,0.92522,0.8821,1.28461,0.0016238,0.0016238,0.0016238
21,42.3569,0.81397,0.81424,1.04785,0.95518,0.88462,0.94177,0.70121,0.90679,0.90669,1.26261,0.001604,0.001604,0.001604
22,44.0977,0.88184,0.88604,1.08945,0.86926,0.89513,0.92109,0.66165,1.00777,0.94649,1.34427,0.0015842,0.0015842,0.0015842
